GeneNames,value1,value2,log2FC,p-value
LOC_Os02g13560.1,59,13,2.182203331,1.02E-10
LOC_Os01g36950.1,63,14,2.169925001,3.26E-11
LOC_Os09g24230.1,36,8,2.169925001,7.91E-07
LOC_Os05g48760.1,18,4,2.169925001,0.000784537
LOC_Os10g27220.1,9,2,2.169925001,0.015485234
LOC_Os02g54130.3,89,20,2.153805336,2.78E-15
LOC_Os03g16670.1,44,10,2.137503524,4.73E-08
LOC_Os04g34450.1,22,5,2.137503524,0.000129363
LOC_Os08g05910.1,70,16,2.129283017,3.72E-12
LOC_Os03g41460.1,35,8,2.129283017,1.39E-06
LOC_Os12g33946.1,343,79,2.118284018,1.03E-53
LOC_Os08g43440.1,39,9,2.115477217,2.64E-07
LOC_Os03g53140.2,13,3,2.115477217,0.004264657
LOC_Os05g50380.2,43,10,2.10433666,8.36E-08
LOC_Os10g42790.1,68,16,2.087462841,1.19E-11
LOC_Os05g38219.1,21,5,2.070389328,0.000233409
LOC_Os03g31839.1,25,6,2.058893689,7.48E-05
LOC_Os02g42890.1,54,13,2.054447784,3.14E-09
LOC_Os02g33710.1,170,41,2.051838932,1.25E-26
LOC_Os01g71990.1,33,8,2.044394119,4.32E-06
LOC_Os09g29890.1,44,11,2,1.56E-07
LOC_Os01g43370.1,40,10,2,4.59E-07
LOC_Os09g36480.2,32,8,2,7.59E-06
LOC_Os03g63040.1,28,7,2,2.48E-05
LOC_Os09g12570.1,24,6,2,0.00013087
LOC_Os02g45670.1,20,5,2,0.000418798
LOC_Os03g13750.1,16,4,2,0.002409106
LOC_Os07g46780.2,12,3,2,0.007711815
LOC_Os05g41795.1,8,2,2,0.050472433
LOC_Os02g39880.1,4,1,2,0.179811719
LOC_Os02g54254.2,75,19,1.980891177,4.15E-12
LOC_Os05g02530.1,161,41,1.973364873,3.12E-24
LOC_Os04g36720.1,35,9,1.959358016,4.55E-06
LOC_Os08g29150.1,27,7,1.94753258,4.41E-05
LOC_Os08g31510.1,104,27,1.945552216,6.24E-16
LOC_Os03g21620.1,50,13,1.943416472,2.82E-08
LOC_Os03g55100.1,23,6,1.938599455,0.00022833
LOC_Os06g50300.1,377,99,1.929064093,1.71E-53
LOC_Os12g04240.1,19,5,1.925999419,0.00074662
LOC_Os12g34014.1,34,9,1.91753784,7.77E-06
LOC_Os08g38460.1,30,8,1.906890596,2.32E-05
LOC_Os03g49230.1,15,4,1.906890596,0.004190827
LOC_Os01g55950.1,41,11,1.898120386,7.92E-07
LOC_Os05g08840.1,52,14,1.893084796,2.90E-08
LOC_Os05g33730.1,26,7,1.893084796,7.82E-05
LOC_Os03g06620.1,48,13,1.884522783,8.40E-08
LOC_Os05g50710.1,44,12,1.874469118,2.74E-07
LOC_Os06g50050.1,11,3,1.874469118,0.013806793
LOC_Os06g45840.1,29,8,1.857980995,4.04E-05
LOC_Os03g49180.1,18,5,1.847996907,0.001321314
LOC_Os11g26850.2,158,44,1.84434913,2.42E-22
LOC_Os12g18770.1,25,7,1.836501268,0.000228535
LOC_Os01g15010.1,39,11,1.8259706,2.32E-06
LOC_Os08g09200.1,296,84,1.817135943,6.83E-40
LOC_Os06g40200.1,14,4,1.807354922,0.007242091
LOC_Os06g45940.1,7,2,1.807354922,0.087890611
LOC_Os06g39260.1,24,7,1.777607579,0.000384782
LOC_Os09g13570.1,17,5,1.765534746,0.002318978
LOC_Os06g23290.3,98,29,1.756728849,1.22E-13
LOC_Os01g08410.1,27,8,1.754887502,0.000120624
LOC_Os08g32870.1,138,41,1.750972452,1.17E-18
LOC_Os02g57260.1,47,14,1.74723393,3.96E-07
LOC_Os02g12650.1,40,12,1.736965594,3.78E-06
LOC_Os07g40520.1,10,3,1.736965594,0.024424536
LOC_Os07g49270.1,56,17,1.719892081,4.03E-08
LOC_Os12g35360.1,23,7,1.716207034,0.000645393
LOC_Os07g14270.3,160,49,1.707218251,7.15E-21
LOC_Os12g32986.1,62,19,1.706268797,7.32E-09
LOC_Os02g06720.1,13,4,1.700439718,0.012413292
LOC_Os02g39360.1,158,49,1.689070904,3.26E-20
LOC_Os12g36640.2,58,18,1.688055994,2.36E-08
LOC_Os07g46220.1,29,9,1.688055994,0.000108745
LOC_Os02g44630.3,16,5,1.678071905,0.004031847
LOC_Os01g07870.1,54,17,1.667424661,1.11E-07
LOC_Os07g34589.3,76,24,1.662965013,2.34E-10
LOC_Os06g05740.1,19,6,1.662965013,0.002011275
LOC_Os12g44360.2,126,40,1.655351829,3.41E-16
LOC_Os05g41120.1,22,7,1.652076697,0.001077553
LOC_Os02g14730.1,25,8,1.64385619,0.000352603
LOC_Os09g27030.2,504,162,1.637429921,1.36E-54
LOC_Os03g51050.1,28,9,1.637429921,0.000182442
LOC_Os02g32660.1,87,28,1.635588574,2.16E-11
LOC_Os10g32550.1,90,29,1.633872101,7.69E-12
LOC_Os09g36220.1,124,40,1.632268215,9.46E-16
LOC_Os10g35630.1,30,10,1.584962501,0.000165839
LOC_Os03g20380.4,27,9,1.584962501,0.0003046
LOC_Os06g04020.1,24,8,1.584962501,0.000597033
LOC_Os02g16040.1,21,7,1.584962501,0.001789317
LOC_Os09g38370.1,18,6,1.584962501,0.003405763
LOC_Os05g03550.1,15,5,1.584962501,0.011269257
LOC_Os09g39910.2,12,4,1.584962501,0.021067875
LOC_Os09g37120.1,9,3,1.584962501,0.042593369
LOC_Os01g02720.1,6,2,1.584962501,0.150918038
LOC_Os02g18090.1,3,1,1.584962501,0.330834119
LOC_Os04g32950.2,190,64,1.569855608,2.52E-22
LOC_Os01g55830.1,65,22,1.562936194,1.56E-08
LOC_Os01g09570.1,109,37,1.558730959,2.79E-13
LOC_Os06g36560.1,73,25,1.545968369,2.57E-09
LOC_Os12g44030.1,67,23,1.542527234,1.36E-08
LOC_Os12g37060.1,64,22,1.540568381,2.58E-08
LOC_Os09g24710.3,29,10,1.5360529,0.000270995
LOC_Os04g04020.1,52,18,1.530514717,7.40E-07
LOC_Os08g39630.1,26,9,1.530514717,0.00050576
LOC_Os03g60090.1,98,34,1.527247003,7.14E-12
LOC_Os07g47530.2,72,25,1.526068812,4.22E-09
LOC_Os05g43230.1,23,8,1.523561956,0.001003469
LOC_Os01g12710.1,40,14,1.514573173,1.43E-05
LOC_Os10g41760.1,20,7,1.514573173,0.002952376
LOC_Os03g06139.1,54,19,1.506959989,6.75E-07
LOC_Os03g42820.2,34,12,1.502500341,7.77E-05
LOC_Os09g39560.1,17,6,1.502500341,0.005715642
LOC_Os07g27950.2,31,11,1.494764692,0.000151602
LOC_Os05g38150.1,70,25,1.485426827,1.13E-08
LOC_Os03g50870.1,28,10,1.485426827,0.000440897
