GeneNames,value1,value2,log2FC,p-value
LOC_Os01g40050.2,10,7,0.514573173,0.329559097
LOC_Os06g36700.1,57,40,0.510961919,0.005716981
LOC_Os06g02380.1,208,146,0.510615159,1.33E-07
LOC_Os02g48790.1,27,19,0.506959989,0.07399377
LOC_Os08g39080.1,17,12,0.502500341,0.139039225
LOC_Os01g67320.1,41,29,0.499571009,0.022046063
LOC_Os05g07050.1,69,49,0.493814613,0.002931566
LOC_Os05g44050.1,38,27,0.493040011,0.033128543
LOC_Os03g20700.1,45,32,0.491853096,0.016077219
LOC_Os10g35840.1,59,42,0.490325627,0.006630959
LOC_Os07g46160.1,35,25,0.485426827,0.037534163
LOC_Os08g02210.2,21,15,0.485426827,0.13029785
LOC_Os01g72890.2,14,10,0.485426827,0.218633717
LOC_Os06g06290.1,7,5,0.485426827,0.392631489
LOC_Os05g06770.1,18,13,0.469485283,0.150118628
LOC_Os02g36570.1,58,42,0.465663572,0.008657246
LOC_Os09g31970.1,38,28,0.440572591,0.046749281
LOC_Os01g68750.1,19,14,0.440572591,0.161537614
LOC_Os01g49370.1,42,31,0.438121112,0.033447081
LOC_Os05g05470.1,65,48,0.437405312,0.007776527
LOC_Os07g45064.1,46,34,0.436099115,0.024158328
LOC_Os09g29239.1,23,17,0.436099115,0.112957828
LOC_Os06g48640.2,27,20,0.432959407,0.080382464
LOC_Os12g13460.1,31,23,0.430634354,0.074346666
LOC_Os05g14170.1,43,32,0.426264755,0.035843486
LOC_Os03g13970.1,59,44,0.423211431,0.012836963
LOC_Os03g14980.2,67,50,0.422233001,0.006857636
LOC_Os03g05730.1,68,51,0.415037499,0.007286567
LOC_Os05g51560.2,40,30,0.415037499,0.040694601
LOC_Os11g24540.1,32,24,0.415037499,0.079628448
LOC_Os02g46610.1,24,18,0.415037499,0.120732198
LOC_Os11g38900.1,20,15,0.415037499,0.17322745
LOC_Os09g30130.2,16,12,0.415037499,0.189789277
LOC_Os06g13810.1,12,9,0.415037499,0.277650125
LOC_Os07g37640.1,8,6,0.415037499,0.424011311
LOC_Os01g11054.1,163,124,0.394531844,3.94E-05
LOC_Os03g38980.2,21,16,0.392317423,0.185124286
LOC_Os07g47500.1,59,45,0.390789953,0.017487573
LOC_Os02g57710.1,72,55,0.388565288,0.007256595
LOC_Os01g13370.1,17,13,0.387023123,0.202118681
LOC_Os03g59740.1,30,23,0.38332864,0.096763014
LOC_Os12g12850.1,305,234,0.382300713,3.20E-08
LOC_Os05g47550.1,26,20,0.378511623,0.13721056
LOC_Os08g24760.1,13,10,0.378511623,0.29662392
LOC_Os03g22570.1,48,37,0.375509135,0.037538033
LOC_Os07g31380.1,22,17,0.371968777,0.149686273
LOC_Os03g40110.1,31,24,0.36923381,0.102789327
LOC_Os02g41470.1,40,31,0.367731785,0.055725144
LOC_Os06g10620.1,67,52,0.365649472,0.01252481
LOC_Os03g57840.2,63,49,0.362570079,0.017106339
LOC_Os01g67054.3,45,35,0.362570079,0.042608306
LOC_Os04g04950.1,18,14,0.362570079,0.214692829
LOC_Os03g60740.1,9,7,0.362570079,0.452361627
LOC_Os05g40820.3,41,32,0.357552005,0.058958495
LOC_Os01g67000.1,32,25,0.35614381,0.084728788
LOC_Os06g51084.1,23,18,0.353636955,0.158394263
LOC_Os07g46370.1,37,29,0.351472371,0.064427788
LOC_Os10g40780.3,42,33,0.347923303,0.062382168
LOC_Os12g29550.1,28,22,0.347923303,0.118334525
LOC_Os08g36840.1,14,11,0.347923303,0.315184673
LOC_Os03g38000.2,89,70,0.346450414,0.005078634
LOC_Os05g33810.1,19,15,0.341036918,0.227432119
LOC_Os12g44310.2,87,69,0.334419039,0.006041236
LOC_Os02g49800.1,58,46,0.334419039,0.023494594
LOC_Os07g37560.1,29,23,0.334419039,0.12481129
LOC_Os03g12030.1,39,31,0.331205908,0.071182948
LOC_Os02g46520.1,15,12,0.321928095,0.333256618
LOC_Os02g43350.1,46,37,0.31410859,0.059905917
LOC_Os02g34810.1,82,66,0.313157885,0.010156235
LOC_Os05g03760.1,36,29,0.311944006,0.104091801
LOC_Os11g01380.1,191,154,0.310642287,7.30E-05
LOC_Os05g45420.3,57,46,0.309328058,0.036877921
LOC_Os07g30970.2,26,21,0.308122295,0.145487906
LOC_Os02g07720.3,47,38,0.306661338,0.050194572
LOC_Os02g16000.2,21,17,0.304854582,0.195920802
LOC_Os08g10020.2,74,60,0.30256277,0.014915047
LOC_Os10g32970.1,32,26,0.299560282,0.1142283
LOC_Os04g38680.1,16,13,0.299560282,0.268021075
LOC_Os02g14770.1,280,228,0.296393003,2.55E-06
LOC_Os01g64960.1,124,101,0.295984828,0.001969634
LOC_Os02g56000.1,33,27,0.289506617,0.119501653
LOC_Os01g72880.1,22,18,0.289506617,0.205387492
LOC_Os01g69970.1,11,9,0.289506617,0.37614811
LOC_Os06g51150.2,138,113,0.288345494,0.001164868
LOC_Os03g12670.3,94,77,0.287802311,0.007062127
LOC_Os06g49110.3,39,32,0.285402219,0.094398734
LOC_Os12g44380.3,45,37,0.282399731,0.074997207
LOC_Os08g30790.3,51,42,0.280107919,0.059871348
LOC_Os04g31070.1,17,14,0.280107919,0.281290487
LOC_Os03g41419.1,86,71,0.276517635,0.012608164
LOC_Os08g09100.1,46,38,0.275634443,0.078458347
LOC_Os01g59980.1,23,19,0.275634443,0.215105461
LOC_Os12g01520.2,52,43,0.274174963,0.050329227
LOC_Os05g06430.2,35,29,0.271302022,0.130771458
LOC_Os04g52730.1,41,34,0.270089163,0.103288068
LOC_Os04g39020.1,88,73,0.26960706,0.011189099
LOC_Os10g35710.1,12,10,0.263034406,0.395063924
LOC_Os09g32650.1,25,21,0.251538767,0.235111688
LOC_Os08g09940.1,44,37,0.249978253,0.093296243
LOC_Os09g33480.1,38,32,0.247927513,0.118157728
LOC_Os12g18630.1,19,16,0.247927513,0.30792043
LOC_Os01g59080.1,32,27,0.245112498,0.150731497
LOC_Os03g07300.1,65,55,0.2410081,0.042961608
LOC_Os08g34950.1,39,33,0.2410081,0.122943372
LOC_Os03g54920.1,26,22,0.2410081,0.194085137
LOC_Os02g22020.1,13,11,0.2410081,0.413318993
LOC_Os03g58230.1,33,28,0.237039197,0.156749856
LOC_Os04g58880.1,60,51,0.234465254,0.05573747
LOC_Os10g41550.1,20,17,0.234465254,0.25311025
LOC_Os03g46770.1,1074,913,0.234307228,4.60E-17
LOC_Os05g43252.2,7,6,0.222392421,0.582502865
LOC_Os07g22640.4,14,12,0.222392421,0.430867776
LOC_Os05g33310.1,50,43,0.217591435,0.094609826
LOC_Os12g05650.1,30,26,0.206450877,0.182236647
LOC_Os03g42130.1,15,13,0.206450877,0.34967589
LOC_Os03g42220.1,76,66,0.203533394,0.035001272
LOC_Os07g43900.1,23,20,0.201633861,0.283504987
LOC_Os09g00999.1,195,170,0.197939378,0.000883374
LOC_Os03g16440.1,55,48,0.196397213,0.091504721
LOC_Os09g02700.1,64,56,0.192645078,0.065879155
LOC_Os07g05570.1,32,28,0.192645078,0.19484732
LOC_Os03g60620.1,24,21,0.192645078,0.293916876
LOC_Os09g29810.1,8,7,0.192645078,0.606134926
LOC_Os03g52310.1,16,14,0.192645078,0.362964385
LOC_Os12g01390.1,107,94,0.186878135,0.015749491
LOC_Os06g05660.1,25,22,0.184424571,0.244588556
LOC_Os04g46620.1,34,30,0.180572246,0.208346023
LOC_Os10g41440.1,17,15,0.180572246,0.376210759
LOC_Os08g03290.1,674,595,0.179858923,1.85E-09
LOC_Os03g55389.1,43,38,0.178337241,0.146061268
LOC_Os02g42040.1,35,31,0.175086707,0.175582456
LOC_Os03g17310.1,54,48,0.169925001,0.110593788
LOC_Os01g07760.1,45,40,0.169925001,0.128066372
LOC_Os04g40850.1,36,32,0.169925001,0.180883038
LOC_Os09g17730.2,9,8,0.169925001,0.627080764
LOC_Os12g22030.1,18,16,0.169925001,0.389341701
LOC_Os10g33680.1,28,25,0.163498732,0.26923782
LOC_Os06g07080.1,47,42,0.162271429,0.135585447
LOC_Os03g04410.1,57,51,0.160464672,0.099785949
LOC_Os06g09890.5,38,34,0.160464672,0.192126216
LOC_Os02g53140.1,19,17,0.160464672,0.402302847
LOC_Os03g18810.1,29,26,0.157541277,0.277801164
LOC_Os07g10830.1,39,35,0.156119202,0.198038463
LOC_Os05g41060.1,60,54,0.152003093,0.090505615
LOC_Os04g32330.1,50,45,0.152003093,0.122613019
LOC_Os03g06240.2,164,148,0.148098639,0.005230986
LOC_Os03g21740.1,41,37,0.148098639,0.172485516
LOC_Os03g53190.1,31,28,0.146841388,0.240044932
LOC_Os08g10570.1,21,19,0.144389909,0.342734603
LOC_Os04g53440.2,32,29,0.142019005,0.246961825
LOC_Os02g01070.1,11,10,0.137503524,0.515686683
LOC_Os03g06410.1,33,30,0.137503524,0.254066546
LOC_Os03g22810.1,22,20,0.137503524,0.353029352
LOC_Os03g61220.2,122,111,0.136321471,0.020878744
LOC_Os11g43970.1,68,62,0.133266531,0.093315787
LOC_Os10g35010.1,34,31,0.133266531,0.261335912
LOC_Os06g01390.1,46,42,0.131244533,0.16378203
LOC_Os05g05710.1,35,32,0.129283017,0.221102903
LOC_Os09g26730.1,12,11,0.125530882,0.532005188
LOC_Os06g03990.1,13,12,0.115477217,0.547529354
LOC_Os08g02640.4,26,24,0.115477217,0.321146687
LOC_Os12g34108.1,40,37,0.112474729,0.208702238
LOC_Os02g21970.1,41,38,0.109624491,0.213738662
LOC_Os09g38530.1,14,13,0.106915204,0.562271291
LOC_Os06g05880.1,57,53,0.10496956,0.150027312
LOC_Os03g22690.1,29,27,0.103093493,0.286182749
LOC_Os11g46240.1,15,14,0.099535674,0.460812753
LOC_Os05g33360.1,30,28,0.099535674,0.292992309
LOC_Os03g59020.1,48,45,0.093109404,0.210454709
LOC_Os09g28910.2,16,15,0.093109404,0.473145735
LOC_Os12g43950.2,32,30,0.093109404,0.307188318
LOC_Os05g23620.2,33,31,0.090197809,0.314520716
LOC_Os02g20930.1,17,16,0.087462841,0.485300769
LOC_Os01g60040.2,35,33,0.084888898,0.273865806
LOC_Os06g43760.1,53,50,0.084064265,0.166967542
LOC_Os04g40950.3,144,136,0.08246216,0.025933222
LOC_Os05g09490.1,36,34,0.08246216,0.27993456
LOC_Os02g43830.1,18,17,0.08246216,0.497227841
LOC_Os03g44484.1,74,70,0.080170349,0.11140911
LOC_Os02g03860.1,37,35,0.080170349,0.286177634
LOC_Os05g33280.1,95,90,0.078002512,0.075658005
LOC_Os06g04030.1,57,54,0.078002512,0.181096883
LOC_Os01g56350.1,19,18,0.078002512,0.414706663
LOC_Os05g02220.5,20,19,0.074000581,0.424442011
LOC_Os03g53670.2,21,20,0.070389328,0.434248244
LOC_Os07g46460.1,109,104,0.067744607,0.062522467
LOC_Os11g01872.1,22,21,0.067114196,0.444072895
LOC_Os12g05050.1,45,43,0.065588342,0.238887503
LOC_Os06g13820.1,23,22,0.064130337,0.453873892
LOC_Os07g48490.2,24,23,0.061400545,0.383127886
LOC_Os12g33080.1,25,24,0.058893689,0.391187388
LOC_Os01g56580.2,26,25,0.056583528,0.399382006
LOC_Os08g44050.3,28,27,0.05246742,0.4160304
LOC_Os12g43370.1,29,28,0.050626073,0.354198564
LOC_Os06g48750.1,61,59,0.048094288,0.198429216
LOC_Os01g08270.1,31,30,0.047305715,0.368150001
LOC_Os01g43520.1,33,32,0.044394119,0.382627494
LOC_Os12g07140.1,35,34,0.041820176,0.333881894
LOC_Os05g05240.1,36,35,0.040641984,0.340076782
LOC_Os12g36670.1,37,36,0.039528364,0.346415729
LOC_Os06g44450.1,87,85,0.03355256,0.125220267
LOC_Os02g57040.1,45,44,0.032421478,0.286809843
LOC_Os04g55650.2,141,138,0.031026896,0.053749801
LOC_Os01g73250.1,64,63,0.022720077,0.21156582
LOC_Os01g65080.1,77,76,0.018859027,0.167195554
LOC_Os11g06020.1,104,104,0,0.125276743
LOC_Os07g37750.1,60,60,0,0.27046032
LOC_Os03g59620.1,19,19,0,0.518577488
LOC_Os02g57190.1,20,20,0,0.527357817
LOC_Os04g59494.2,21,21,0,0.536132593
LOC_Os06g44150.1,22,22,0,0.544861226
LOC_Os09g36270.2,24,24,0,0.471219477
LOC_Os09g39500.1,15,15,0,0.585554787
LOC_Os02g40830.2,42,42,0,0.326064863
LOC_Os04g22470.1,2,2,0,1
LOC_Os07g39880.1,1,1,0,1
LOC_Os12g43130.1,6,6,0,0.776378797
LOC_Os07g07690.1,4,4,0,1
LOC_Os02g36380.2,31,31,0,0.444007057
LOC_Os06g43560.1,11,11,0,0.671145283
LOC_Os05g42210.1,7,7,0,0.790430352
LOC_Os02g22060.1,5,5,0,0.760104678
LOC_Os03g62370.1,29,29,0,0.430513977
LOC_Os12g03090.1,28,28,0,0.42396914
LOC_Os04g44910.1,8,8,0,0.802674019
LOC_Os07g49260.1,9,9,0,0.645422974
LOC_Os03g44580.3,3,3,0,1
LOC_Os02g47970.1,45,45,0,0.340293362
LOC_Os01g15600.1,18,18,0,0.615669638
LOC_Os06g09630.1,13,13,0,0.694102999
LOC_Os02g50860.1,12,12,0,0.682963624
LOC_Os02g54990.2,87,88,-0.016488123,0.196059668
LOC_Os09g39380.1,71,72,-0.020177882,0.239635819
LOC_Os02g06640.1,128,130,-0.022367813,0.117359273
LOC_Os04g39489.1,52,53,-0.027480736,0.327555672
LOC_Os08g41460.8,51,52,-0.028014376,0.323781588
LOC_Os08g25720.1,45,46,-0.03170886,0.399165402
LOC_Os03g52690.1,78,80,-0.036525876,0.262475432
LOC_Os01g05800.2,108,111,-0.039528364,0.174185178
LOC_Os05g34830.1,31,32,-0.04580369,0.526777545
LOC_Os02g53770.1,57,59,-0.049753035,0.351032089
LOC_Os07g49150.1,55,57,-0.051530301,0.344037599
LOC_Os01g39310.1,27,28,-0.05246742,0.587873986
LOC_Os08g41300.1,25,26,-0.056583528,0.574438079
LOC_Os02g58560.1,24,25,-0.058893689,0.567751853
LOC_Os03g08010.1,72,75,-0.058893689,0.319541586
LOC_Os05g38400.3,94,98,-0.060120992,0.245594599
LOC_Os11g01510.3,47,49,-0.060120992,0.412769485
LOC_Os07g12170.1,67,70,-0.063193826,0.344684972
LOC_Os08g02690.1,22,23,-0.064130337,0.653362601
LOC_Os01g51200.2,65,68,-0.065095028,0.338385812
LOC_Os09g01000.1,1406,1471,-0.065200652,6.12E-06
LOC_Os02g58020.1,42,44,-0.067114196,0.449378593
LOC_Os02g58340.1,21,22,-0.067114196,0.646298383
LOC_Os11g34210.1,20,21,-0.070389328,0.639156578
LOC_Os04g51690.1,39,41,-0.072149786,0.500473237
LOC_Os03g43760.1,38,40,-0.074000581,0.495629594
LOC_Os04g39880.2,18,19,-0.078002512,0.62476019
LOC_Os08g33820.1,251,265,-0.078304995,0.076230432
LOC_Os01g54560.1,52,55,-0.080919995,0.437307528
LOC_Os01g48370.1,17,18,-0.08246216,0.734483435
LOC_Os10g32880.1,29,31,-0.096215315,0.604624797
LOC_Os02g55340.1,28,30,-0.099535674,0.599330744
LOC_Os07g18120.1,14,15,-0.099535674,0.712515394
LOC_Os03g31750.1,68,73,-0.102361718,0.398341759
LOC_Os03g58700.1,27,29,-0.103093493,0.5941233
LOC_Os02g33610.2,39,42,-0.106915204,0.576733403
LOC_Os04g49510.1,13,14,-0.106915204,0.84697539
LOC_Os01g36930.1,24,26,-0.115477217,0.671010977
LOC_Os11g09329.1,35,38,-0.118644496,0.638039137
LOC_Os11g03730.2,23,25,-0.120294234,0.66564353
LOC_Os06g49120.2,32,35,-0.129283017,0.624888297
LOC_Os02g48010.1,21,23,-0.131244533,0.762198864
LOC_Os04g42090.4,260,286,-0.137503524,0.16825497
LOC_Os03g58050.1,38,42,-0.144389909,0.653385351
LOC_Os06g11380.1,19,21,-0.144389909,0.752093682
LOC_Os01g49190.1,132,146,-0.14543044,0.365478421
LOC_Os08g13690.1,56,62,-0.146841388,0.57883791
LOC_Os03g12290.1,73,81,-0.150025444,0.517132994
LOC_Os04g44430.1,18,20,-0.152003093,0.746973766
LOC_Os01g47410.1,27,30,-0.152003093,0.691512824
LOC_Os03g50540.1,79,88,-0.15565087,0.533577218
LOC_Os04g35570.2,26,29,-0.157541277,0.786490986
LOC_Os05g33570.2,439,490,-0.158560809,0.120368413
LOC_Os09g39680.1,43,48,-0.158697746,0.673486514
LOC_Os04g59460.1,17,19,-0.160464672,0.867175653
LOC_Os04g44830.1,42,47,-0.162271429,0.670292192
LOC_Os02g02390.1,25,28,-0.163498732,0.782731728
LOC_Os07g08330.1,57,64,-0.167109986,0.647676723
LOC_Os12g07210.1,8,9,-0.169925001,1
LOC_Os03g36930.1,24,27,-0.169925001,0.778958482
LOC_Os11g47760.5,277,313,-0.176276681,0.281250415
LOC_Os01g09246.1,38,43,-0.178337241,0.73774855
LOC_Os08g27840.1,45,51,-0.180572246,0.682254921
LOC_Os02g54160.1,43,49,-0.188445089,0.753261745
LOC_Os01g05470.1,7,8,-0.192645078,1
LOC_Os03g03130.2,28,32,-0.192645078,0.795771103
LOC_Os02g06700.2,14,16,-0.192645078,0.855840807
LOC_Os04g38410.1,55,63,-0.19592021,0.711370087
LOC_Os02g17390.1,48,55,-0.196397213,0.693188835
LOC_Os10g41960.1,54,62,-0.199308808,0.709233528
LOC_Os03g26630.2,20,23,-0.201633861,0.878459884
LOC_Os03g56300.1,40,46,-0.201633861,0.745867165
LOC_Os06g37180.1,238,274,-0.20321432,0.423412829
LOC_Os01g69950.1,32,37,-0.209453366,0.809255648
LOC_Os01g08420.1,19,22,-0.211504105,0.875840055
LOC_Os03g11240.1,25,29,-0.214124805,0.891311801
LOC_Os06g48590.1,31,36,-0.215728691,0.8068974
LOC_Os04g36660.1,18,21,-0.222392421,0.87319023
LOC_Os02g35080.2,12,14,-0.222392421,1
LOC_Os05g07700.1,29,34,-0.229481846,0.899314891
LOC_Os03g58430.1,23,27,-0.231325546,0.887428837
LOC_Os06g15990.1,92,108,-0.231325546,0.722405805
LOC_Os04g57220.2,119,140,-0.234465254,0.707709662
LOC_Os04g56520.1,17,20,-0.234465254,0.870523555
LOC_Os11g06720.1,95,112,-0.237499314,0.727169453
LOC_Os09g31180.1,38,45,-0.243925583,0.912172925
LOC_Os12g41715.1,27,32,-0.245112498,0.896282931
LOC_Os09g17740.1,16,19,-0.247927513,1
LOC_Os07g46410.1,37,44,-0.249978253,0.911139066
LOC_Os04g46960.4,21,25,-0.251538767,0.883556546
LOC_Os04g40040.1,406,484,-0.25352732,0.589141446
LOC_Os12g01922.1,26,31,-0.253756592,0.894786322
LOC_Os07g08170.1,31,37,-0.255257055,0.903332528
LOC_Os08g42560.1,36,43,-0.256339753,0.910119461
LOC_Os05g14194.1,40,48,-0.263034406,0.914818572
LOC_Os06g04460.1,10,12,-0.263034406,1
LOC_Os03g08360.1,20,24,-0.263034406,1
LOC_Os03g37970.1,44,53,-0.268488836,0.918851417
LOC_Os05g01700.1,34,41,-0.270089163,0.908137737
LOC_Os07g10150.1,48,58,-0.273018494,0.922361939
LOC_Os02g04100.1,19,23,-0.275634443,1
LOC_Os06g02260.1,38,46,-0.275634443,0.913155864
LOC_Os10g28040.1,14,17,-0.280107919,1
LOC_Os04g57560.1,28,34,-0.280107919,1
LOC_Os11g07280.2,23,28,-0.283792966,1
LOC_Os08g19850.1,50,61,-0.286881148,1
LOC_Os03g04660.1,9,11,-0.289506617,1
LOC_Os03g13170.1,39,48,-0.299560282,1
LOC_Os05g09620.1,26,32,-0.299560282,1
LOC_Os03g51140.1,30,37,-0.30256277,1
LOC_Os07g38960.1,221,273,-0.304854582,1
LOC_Os12g35630.1,34,42,-0.304854582,1
LOC_Os03g10340.1,17,21,-0.304854582,1
LOC_Os09g36300.2,55,68,-0.306103128,1
LOC_Os03g08020.1,63,78,-0.308122295,1
LOC_Os08g05840.1,21,26,-0.308122295,1
LOC_Os03g47740.1,29,36,-0.311944006,1
LOC_Os01g05500.1,37,46,-0.31410859,1
LOC_Os12g30540.1,57,71,-0.316857105,1
LOC_Os01g57570.1,4,5,-0.321928095,1
LOC_Os03g55150.6,20,25,-0.321928095,1
LOC_Os10g27190.1,16,20,-0.321928095,1
LOC_Os09g39180.1,68,85,-0.321928095,1
LOC_Os01g68810.1,12,15,-0.321928095,1
LOC_Os03g23950.1,32,40,-0.321928095,1
LOC_Os07g05620.2,27,34,-0.332575339,1
LOC_Os08g44810.1,23,29,-0.334419039,1
LOC_Os11g47970.1,61,77,-0.336049203,0.93196078
LOC_Os04g20220.1,38,48,-0.337034987,1
LOC_Os09g19734.3,19,24,-0.337034987,1
LOC_Os03g64020.2,34,43,-0.338801913,1
LOC_Os12g17910.1,49,62,-0.339486466,0.924288871
LOC_Os04g46390.1,45,57,-0.341036918,0.921093336
LOC_Os03g19510.1,15,19,-0.341036918,1
LOC_Os09g33980.1,22,28,-0.347923303,1
LOC_Os01g50622.2,51,65,-0.349942471,0.925709542
LOC_Os02g46510.1,40,51,-0.350497247,0.916392795
LOC_Os05g22940.1,76,97,-0.351985329,0.87857894
LOC_Os08g44860.4,36,46,-0.353636955,0.912021522
LOC_Os05g01910.1,25,32,-0.35614381,1
LOC_Os02g47310.1,7,9,-0.362570079,1
LOC_Os10g35870.1,48,62,-0.36923381,0.848457029
LOC_Os07g47820.1,17,22,-0.371968777,1
LOC_Os11g40140.1,27,35,-0.374395515,0.898897666
LOC_Os04g14790.1,10,13,-0.378511623,1
LOC_Os07g06950.1,33,43,-0.381870635,0.908266874
LOC_Os05g05950.1,66,86,-0.381870635,0.806775132
LOC_Os05g28940.1,19,25,-0.395928676,0.880547336
LOC_Os01g03070.1,22,29,-0.398549376,0.888487545
LOC_Os04g56160.1,553,729,-0.398639334,0.272448902
LOC_Os03g20100.1,47,62,-0.399607459,0.773221282
LOC_Os12g07740.1,25,33,-0.40053793,0.89514694
LOC_Os04g52900.2,109,144,-0.401740677,0.658011271
LOC_Os07g38760.1,28,37,-0.402098444,0.900838472
LOC_Os05g43570.1,34,45,-0.404390255,0.821416712
LOC_Os11g11340.1,3,4,-0.415037499,1
LOC_Os03g59264.1,6,8,-0.415037499,1
LOC_Os01g70170.1,36,48,-0.415037499,0.826424288
LOC_Os03g07570.1,27,36,-0.415037499,0.801195297
LOC_Os06g37160.1,12,16,-0.415037499,1
LOC_Os10g21910.1,41,55,-0.423807709,0.758406526
LOC_Os03g08570.1,38,51,-0.424497829,0.749736068
LOC_Os08g42410.1,61,82,-0.426814667,0.674304899
LOC_Os02g05700.1,26,35,-0.428843299,0.797583497
LOC_Os01g14950.1,23,31,-0.430634354,0.785998318
LOC_Os03g12230.2,97,131,-0.433510159,0.548950974
LOC_Os03g38950.1,37,50,-0.434402824,0.746701474
LOC_Os01g61120.1,30,41,-0.450661409,0.721364276
LOC_Os04g16770.1,19,26,-0.452512205,0.766689004
LOC_Os03g50510.1,27,37,-0.454565863,0.708191065
LOC_Os07g42950.1,62,85,-0.455194626,0.56228751
LOC_Os08g06040.1,8,11,-0.459431619,1
LOC_Os11g14300.1,16,22,-0.459431619,0.870705547
LOC_Os08g23710.1,29,40,-0.4639471,0.717088927
LOC_Os12g18900.1,42,58,-0.465663572,0.61621907
LOC_Os06g02600.1,21,29,-0.465663572,0.776771856
LOC_Os03g13380.1,55,76,-0.4665678,0.59813006
LOC_Os05g34540.1,26,36,-0.469485283,0.703019316
LOC_Os03g03830.1,18,25,-0.473931188,0.760693406
LOC_Os02g38820.1,50,70,-0.485426827,0.52186387
LOC_Os05g38180.4,5,7,-0.485426827,1
LOC_Os01g43090.1,35,49,-0.485426827,0.660919281
LOC_Os06g06050.1,10,14,-0.485426827,0.839317694
LOC_Os08g37370.1,32,45,-0.491853096,0.647057666
LOC_Os03g23010.2,49,69,-0.493814613,0.517796492
LOC_Os05g47980.1,164,231,-0.494197037,0.224245711
LOC_Os01g56600.1,44,62,-0.494764692,0.558212705
LOC_Os01g61814.1,22,31,-0.494764692,0.680507406
LOC_Os04g42020.1,17,24,-0.497499659,0.754479624
LOC_Os01g24680.2,41,58,-0.500428991,0.545180339
LOC_Os02g10390.2,130,184,-0.501194143,0.256253519
LOC_Os04g02820.1,36,51,-0.502500341,0.590279623
LOC_Os02g35600.1,24,34,-0.502500341,0.692494559
LOC_Os03g16110.1,28,40,-0.514573173,0.626233516
LOC_Os03g50480.1,120,172,-0.519374159,0.238907353
LOC_Os01g27040.1,39,56,-0.521952703,0.536092586
LOC_Os06g51430.1,16,23,-0.523561956,0.748041969
LOC_Os01g22490.1,9,13,-0.530514717,0.831585274
LOC_Os05g41210.1,27,39,-0.530514717,0.620802097
LOC_Os04g58620.1,29,42,-0.534336428,0.552113668
LOC_Os07g37650.1,20,29,-0.5360529,0.667181499
LOC_Os12g14070.1,64,93,-0.539158811,0.336337602
LOC_Os03g28960.1,22,32,-0.540568381,0.58694205
LOC_Os04g31900.1,11,16,-0.540568381,0.704405044
LOC_Os02g48560.1,70,102,-0.543142325,0.318891955
LOC_Os03g07080.1,13,19,-0.547487795,0.723831592
LOC_Os02g28810.1,41,60,-0.549338591,0.425067718
LOC_Os02g47020.1,155,227,-0.550424082,0.11057956
LOC_Os03g10620.3,15,22,-0.552541023,0.741376761
LOC_Os02g15550.1,17,25,-0.556393349,0.643322306
LOC_Os02g02870.1,38,56,-0.559427409,0.467895629
LOC_Os05g19370.1,19,28,-0.559427409,0.660328666
LOC_Os07g44710.1,21,31,-0.561878888,0.578788784
LOC_Os07g23990.2,75,111,-0.565597176,0.238786512
LOC_Os03g42750.1,27,40,-0.567040593,0.539411169
LOC_Os02g09170.2,29,43,-0.56828376,0.47894878
LOC_Os05g25850.2,31,46,-0.569365646,0.492081821
LOC_Os01g38970.1,35,52,-0.571156701,0.450827213
LOC_Os01g43150.3,41,61,-0.573185333,0.372223105
LOC_Os01g60410.1,6,9,-0.584962501,0.799379528
LOC_Os10g40410.1,8,12,-0.584962501,0.823015872
LOC_Os01g61580.3,12,18,-0.584962501,0.714494311
LOC_Os02g50620.1,16,24,-0.584962501,0.63439207
LOC_Os07g37240.1,247,371,-0.586908145,0.018821959
LOC_Os05g06350.1,53,80,-0.59400764,0.295299093
LOC_Os03g07840.1,39,59,-0.59724083,0.361178824
LOC_Os03g31300.1,33,50,-0.59946207,0.37964359
LOC_Os03g14260.2,31,47,-0.600392541,0.425948576
LOC_Os02g57660.2,23,35,-0.605721061,0.509628337
LOC_Os06g02550.1,44,67,-0.606657572,0.295309159
LOC_Os04g20164.1,21,32,-0.607682577,0.492264321
LOC_Os08g38900.2,15,23,-0.61667136,0.62517406
LOC_Os01g47660.1,26,40,-0.621488377,0.457859699
LOC_Os02g04040.1,13,20,-0.621488377,0.602142596
LOC_Os10g31000.1,11,17,-0.628031223,0.704599226
LOC_Os06g51270.1,33,51,-0.628031223,0.380049625
LOC_Os04g28180.1,18,28,-0.637429921,0.463516705
LOC_Os05g48020.1,16,25,-0.64385619,0.531364747
LOC_Os07g30200.2,23,36,-0.646363045,0.432829518
LOC_Os08g37960.1,14,22,-0.652076697,0.508128458
LOC_Os07g41280.1,7,11,-0.652076697,0.813447599
LOC_Os02g50550.1,17,27,-0.667424661,0.451809732
LOC_Os02g51670.1,56,89,-0.668378509,0.155639741
LOC_Os06g09390.1,61,97,-0.669175505,0.128987695
LOC_Os08g37444.4,27,43,-0.671377253,0.337178068
LOC_Os03g08280.2,35,56,-0.678071905,0.247420897
LOC_Os01g54910.1,28,45,-0.684498174,0.29164958
LOC_Os07g46350.1,23,37,-0.68589141,0.364361368
LOC_Os01g46380.1,108,174,-0.688055994,0.031114648
LOC_Os12g13320.1,18,29,-0.688055994,0.463617604
LOC_Os07g45090.1,39,63,-0.691877705,0.196987172
LOC_Os07g06130.2,13,21,-0.691877705,0.494002651
