rank,gene,log2fc,pvalue
149,MOAP1,-0.370218831,0.005354762
150,SPRY1,-0.363726305,0.005975841
151,DHX33,-0.360901539,0.006265706
152,WASHC4,-0.354020045,0.00039402
153,WNK3,-0.353780617,0.290550878
154,SGPP2,-0.352263008,0.738728216
155,ETNK1,-0.346709867,0.010071071
156,LOC100506083,-0.344887232,0.7637631
157,PSPN,-0.341787319,0.173369944
158,ARSJ,-0.308121503,0.013668313
159,ECPAS,-0.307692363,0.001385841
160,LOC101928673,-0.307535319,0.487549011
161,LYPLA1,-0.307339707,0.025000003
162,TMEM70,-0.307245605,0.04183418
163,CDC73,-0.306450078,0.002233764
164,SIK2,-0.306219984,0.001615813
165,RBM34,-0.305248654,0.56167531
166,ITPA,-0.303351845,0.010066192
167,DCAF13,-0.302913807,0.005964713
168,ATG4D,-0.302536424,0.154804816
169,DOHH,-0.295110188,0.076510183
170,SPIDR,-0.294196415,0.002481002
171,IGIP,-0.292207375,0.036090344
172,ASAP1,-0.29125444,0.000131598
173,RETREG3,-0.290424026,0.006014461
174,RPS19BP1,-0.2899742,0.00467276
175,SLF1,-0.287070609,0.122252183
176,ICAM1,-0.286921332,0.109902504
177,B4GALT5,-0.284217003,0.005840235
178,IGSF8,-0.283449471,0.031481732
179,BNIP2,-0.282568366,0.002979191
180,RNF26,-0.282056167,0.008881685
181,STRAP,-0.280521,0.003344239
182,SYPL1,-0.279915175,0.008835245
183,SLC38A10,-0.278592796,0.003951882
184,ALG3,-0.277787819,0.013475613
185,B3GNT2,-0.275894163,0.049378955
186,CHRAC1,-0.270353206,0.010611028
187,DNM1L,-0.270210375,0.004679678
188,CRK,-0.268407717,0.001455385
189,NKRF,-0.267331758,0.10614173
190,ANKZF1,-0.262190467,0.009907489
191,UBC,-0.261775737,0.013556494
192,COLGALT1,-0.261486185,0.001955514
193,MRPS12,-0.260919729,0.086218882
194,WDR64,-0.260386346,0.877851343
195,TRAPPC6A,-0.259016848,0.22490269
196,TRIM36,-0.258386156,0.877208598
197,TECPR2,-0.257046899,0.002982719
198,MIS18BP1,-0.255178823,0.028772537
199,KHNYN,-0.254236266,0.006826282
200,LINC02454,-0.254170564,0.509394714
201,PRPS2,-0.254115804,0.039699153
202,SELENOM,-0.252839803,0.002173973
203,NFIA,-0.247251669,0.037657182
204,KANK2,-0.223991268,0.020950681
205,MRGBP,-0.223366654,0.053242069
206,SLBP,-0.221262851,0.032962295
207,GNE,-0.220461461,0.060541334
208,PLA2G6,-0.219301675,0.125436098
209,SRSF9,-0.218644336,0.013343899
210,LRFN3,-0.217879821,0.08962765
211,DGKE,-0.217777983,0.246961775
212,PIF1,-0.202613947,0.295213245
213,HIC2,-0.2026084,0.333318424
214,CUX1,-0.202271121,0.026204758
215,MICOS13,-0.202129976,0.113666759
216,PHRF1,-0.201608506,0.048770349
217,COX7A2,-0.200953842,0.05777255
218,FRAT2,-0.198608886,0.419360645
219,CLPTM1,-0.198458174,0.021012227
220,TRMT1,-0.193621893,0.155887524
221,GFER,-0.187374617,0.276333663
222,KDELR3,-0.187102158,0.039864655
223,PCED1B,-0.184851488,0.687661928
224,HINT1,-0.183488061,0.069049677
225,RNF216P1,-0.181264418,0.21860512
226,SEC23IP,-0.181081572,0.09429002
227,RNF7,-0.17942897,0.135619527
228,MFSD5,-0.176931764,0.086124469
229,MXRA7,-0.176472472,0.031307935
230,TGFBRAP1,-0.172681853,0.081911963
231,STYX,-0.171974993,0.151657283
232,ICE1,-0.154201356,0.107202078
233,SMIM19,-0.153687942,0.293199286
234,EPS15,-0.152726236,0.119330838
235,TMEM9B-AS1,-0.152633383,0.569709348
236,LRWD1,-0.150153653,0.308094607
237,AHSA1,-0.14987648,0.125371927
238,KPNA6,-0.148459531,0.086849032
239,LOC100506100,-0.146697133,0.772211945
240,BRCC3,-0.145447728,0.231787714
241,KPNA1,-0.143655319,0.155594801
242,POLDIP2,-0.143590481,0.09959104
243,MRPL33,-0.143396164,0.253495774
244,JTB,-0.143299062,0.174657054
245,SLC35B3,-0.133705066,0.312003267
246,LINC01278,-0.133403713,0.280828728
247,ILK,-0.133125421,0.757013254
248,KCMF1,-0.13079894,0.2466883
249,PPP1R8,-0.126613773,0.204292584
250,ARSB,-0.12386789,0.193986359
251,ZNF765,-0.123183546,0.458161217
252,MNT,-0.121884719,0.303619867
253,AP3B1,-0.115039854,0.206317483
254,RNF215,-0.115003457,0.371351811
255,LOC101927420,-0.112884218,0.88164987
256,POLR1C,-0.111267699,0.494271392
257,CDH17,-0.111061672,0.903978861
258,PENK,-0.110853845,0.583043448
259,RPUSD1,-0.108118981,0.430189052
260,STX3,-0.107688314,0.487025548
261,DDR2,-0.105847553,0.351404182
262,TRPT1,-0.105237005,0.479606832
263,POLR2A,-0.104437476,0.263707074
264,NDUFAB1,-0.104416019,0.413174073
265,MRPS31P5,-0.100723893,0.85320585
266,PLGLA,-0.09934362,0.78865098
267,CLCC1,-0.097422506,0.415283732
268,ZZEF1,-0.091837751,0.311985123
269,LMO2,-0.090421069,0.932149316
270,C15orf62,-0.089722176,0.763933637
271,STUB1,-0.088414541,0.449540909
272,S100PBP,-0.088028374,0.465872144
273,FRS3,-0.067762884,0.766267053
274,TMEM86A,-0.066973587,0.753783474
275,PDGFRL,-0.066907979,0.753252916
276,KCTD5,-0.066664954,0.617368477
277,RPF2,-0.06641151,0.599529914
278,LTO1,-0.063400808,0.596712851
279,MPND,-0.063217046,0.766901986
280,SIRPB1,-0.063171711,0.755795382
281,TFG,-0.062288014,0.436037013
282,AKAP9,-0.061076562,0.526999735
283,FUBP3,-0.060729438,0.488064975
284,PCDHGA4,-0.059237269,0.685089703
285,MRPL21,-0.050807202,0.688351909
286,ESPL1,-0.050657973,0.866614254
287,CHST11,-0.0486731,0.832523239
288,PLRG1,-0.045850154,0.604333236
289,CRKL,-0.045718476,0.641724996
290,SLC2A14,-0.044713839,0.864320389
291,TOMM7,-0.04362565,0.6350134
292,NDUFB3,-0.043372884,0.707972169
293,SGCE,-0.043126603,0.612612253
294,FOXE1,-0.042376598,0.920499806
295,FARSB,-0.041896982,0.743390303
296,VDAC3,-0.039938827,0.661879099
297,SPAG1,-0.039909886,0.892597442
298,CEP19,-0.039894573,0.851699642
299,EIF2S2,-0.039727316,0.643834167
300,GPC6,-0.039535992,0.756086218
